Year,Family,Genus,Reported.Taxon,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.Type
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,30.3,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,135.5,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,135.5,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,30.3,kg,HK,AU,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1056.1,kg,HK,ID,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,116.03,kg,HK,ID,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,18,kg,HK,ID,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna zygaena,3,kg,HK,ID,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,239.9,kg,HK,YE,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,239.9,kg,HK,YE,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,150.7,kg,HK,YE,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,150.7,kg,HK,YE,,T,W,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2018,Sphyrnidae,Sphyrna,Sphyrna zygaena,30,kg,HK,SN,,T,W,I
2019,Lamnidae,Isurus,Isurus oxyrinchus,21500,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,21500,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,21500,kg,KR,ZA,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,1147,kg,BZ,HS,,T,X,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,1147,kg,ES,BZ,,T,X,I
2017,Alopiidae,Alopias,Alopias pelagicus,4700,kg,PE,EC,,T,O,E
2017,Alopiidae,Alopias,Alopias pelagicus,4700,kg,PE,EC,,T,O,E
2017,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,50,kg,PE,EC,,T,O,E
2017,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,50,kg,PE,EC,,T,O,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,19519,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,19519,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,19519,kg,KR,ZA,,T,W,E
2019,Myliobatidae,Mobula,Mobula spp.,132.8,kg,HK,IN,,T,W,I
2019,Myliobatidae,Mobula,Mobula tarapacana,132.8,kg,HK,IN,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,24000,kg,MX,CR,,T,,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,24000,kg,MX,CR,,T,,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,33.61,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,316.15,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,182.74,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,96.34,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,182.74,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,10.3,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,40.24,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,33.61,kg,HK,AU,,T,W,E
2019,Myliobatidae,Mobula,Mobula japanica,400,kg,HK,LK,,T,W,E
2019,Myliobatidae,Mobula,Mobula tarapacana,247.5,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula tarapacana,400,kg,HK,LK,,T,W,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,1198,kg,HK,YE,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,949,kg,HK,YE,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,1500,kg,HK,YE,,T,W,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,I
