Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,10,15,88,153,60,129,120,149,45,209,28,53,175,203,87,133,134,125,96,39,43,39,43,40,40,5,0,0,0
Algeria,1127,1200,1124,1237,535,1317,1061,522,977,1010,666,342,374,370,570,687,594,365,487,542,433,428,551,586.96,674.11,677,425.19,526.59,111.56
American Samoa,0,2,0,0,4,0,0,0,0,0,0,0,0,2,1,1,1,0,0.12,0,0,0,0,0,0.07,0,0,0.04,0
Angola,889,603,970,400,106,1126,1399,750,4784,5932,3079,3622,3300,3622,8541,1067,928,1450,1960,2470,2980,3496,3461,3105,3809,2642,1971,271,1001
Antigua and Barbuda,0,0,0,0,0,0,0,0,8,17,36,29,17,44,30,91,47,28,46,50,38,33,22,22,22,22,22,20,25
Argentina,19364,24327,25332,30163,29034,33511,29485,25750,31784,26251,31691,32039,37161,40323,44359,46461,40199,39707,36095,28482,25372,25556,29743,27369,24216,22951,18270,17817.26,15456.11
Australia,9928,9199,8958,8718,8318,6498,6328,7543,9238,9674,10519,11515,11037,9176,8269,8894,8798,7373.27,7159.6,6418.19,6016.02,5688.22,5638.52,5834.91,5873.74,5367.36,5455.45,5226.21,5732.85
Bahamas,37,0,0,5,3,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,148,20,43,26,48,48,17,20,10,16,34,32,32,32,32,32,32,40
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4767,3933,4033,4205,7730,10034,6632,5876.38,5246.47,5248.68,4540.28,5082.38,3817.84,16456
Barbados,18,22,24,25,14,12,15,21,14,14,12,13,18,15,13,15,9,11,11,15,10,12,23,15,18,11,10,6,6
Belgium,1787,1726,1686,1813,1722,1625,1720,1647,1954,2217,2317,2505,2554,2393,2401,2248,1952,1819,2142,2083,1897,1588,1990,1594,1859,1928,2051,2075.1,1713
Belize,0,0,0,0,1,0,521,54,201,5171,0,37,337,41,283,126,144,801,1428.31,1581.63,1640.94,582.2,125.53,187.38,445.33,564.85,542.64,317.69,355.12
Benin,210,196,174,162,170,140,111,73,126,118,502,302,286,171,138,207,293,246,130,726,325,308,978,936,632,2753,3478.9,3660,3710
Bermuda,14,10,17,13,9,12,24,14,5,5,7,6,9,6,7,7,5,5,6,6,6,5,4,6,4,3,3,1.47,2
