Country,Species,Year,CaptureMT,Group
Ecuador,Giant manta,1993,0,Species-Specific Mobula
Ecuador,Giant manta,1994,0,Species-Specific Mobula
Ecuador,Giant manta,1995,0,Species-Specific Mobula
Ecuador,Giant manta,1996,0,Species-Specific Mobula
Ecuador,Giant manta,1997,0,Species-Specific Mobula
Ecuador,Giant manta,1998,0,Species-Specific Mobula
Ecuador,Giant manta,1999,0,Species-Specific Mobula
Ecuador,Giant manta,2000,0,Species-Specific Mobula
Ecuador,Giant manta,2001,0,Species-Specific Mobula
Ecuador,Giant manta,2002,0,Species-Specific Mobula
Ecuador,Giant manta,2003,0,Species-Specific Mobula
Ecuador,Giant manta,2004,0,Species-Specific Mobula
Ecuador,Giant manta,2005,0,Species-Specific Mobula
Ecuador,Giant manta,2006,0,Species-Specific Mobula
Ecuador,Giant manta,2007,5,Species-Specific Mobula
Ecuador,Giant manta,2008,10,Species-Specific Mobula
Ecuador,Giant manta,2009,0,Species-Specific Mobula
Ecuador,Giant manta,2010,0,Species-Specific Mobula
Ecuador,Giant manta,2011,0,Species-Specific Mobula
Ecuador,Giant manta,2012,0,Species-Specific Mobula
Ecuador,Giant manta,2013,0,Species-Specific Mobula
Ecuador,Giant manta,2014,0,Species-Specific Mobula
Ecuador,Giant manta,2015,0,Species-Specific Mobula
Ecuador,Giant manta,2016,0,Species-Specific Mobula
Ecuador,Giant manta,2017,0,Species-Specific Mobula
Ecuador,Giant manta,2018,0,Species-Specific Mobula
Ecuador,Giant manta,2019,0,Species-Specific Mobula
Ecuador,Giant manta,2020,0,Species-Specific Mobula
Ecuador,Giant manta,2021,0,Species-Specific Mobula
Kenya,Giant manta,1993,0,Species-Specific Mobula
Kenya,Giant manta,1994,0,Species-Specific Mobula
Kenya,Giant manta,1995,0,Species-Specific Mobula
Kenya,Giant manta,1996,0,Species-Specific Mobula
Kenya,Giant manta,1997,0,Species-Specific Mobula
Kenya,Giant manta,1998,0,Species-Specific Mobula
Kenya,Giant manta,1999,0,Species-Specific Mobula
Kenya,Giant manta,2000,0,Species-Specific Mobula
Kenya,Giant manta,2001,0,Species-Specific Mobula
Kenya,Giant manta,2002,0,Species-Specific Mobula
Kenya,Giant manta,2003,0,Species-Specific Mobula
Kenya,Giant manta,2004,0,Species-Specific Mobula
Kenya,Giant manta,2005,0,Species-Specific Mobula
Kenya,Giant manta,2006,0,Species-Specific Mobula
Kenya,Giant manta,2007,0,Species-Specific Mobula
Kenya,Giant manta,2008,0,Species-Specific Mobula
Kenya,Giant manta,2009,0,Species-Specific Mobula
Kenya,Giant manta,2010,0,Species-Specific Mobula
Kenya,Giant manta,2011,0,Species-Specific Mobula
Kenya,Giant manta,2012,0,Species-Specific Mobula
Kenya,Giant manta,2013,0,Species-Specific Mobula
Kenya,Giant manta,2014,0,Species-Specific Mobula
Kenya,Giant manta,2015,0,Species-Specific Mobula
Kenya,Giant manta,2016,0,Species-Specific Mobula
Kenya,Giant manta,2017,0,Species-Specific Mobula
Kenya,Giant manta,2018,278.05,Species-Specific Mobula
Kenya,Giant manta,2019,276.89,Species-Specific Mobula
Kenya,Giant manta,2020,276.89,Species-Specific Mobula
Kenya,Giant manta,2021,276.89,Species-Specific Mobula
Peru,Giant manta,1993,0,Species-Specific Mobula
Peru,Giant manta,1994,0,Species-Specific Mobula
Peru,Giant manta,1995,0,Species-Specific Mobula
Peru,Giant manta,1996,0,Species-Specific Mobula
Peru,Giant manta,1997,0,Species-Specific Mobula
Peru,Giant manta,1998,0,Species-Specific Mobula
Peru,Giant manta,1999,0,Species-Specific Mobula
Peru,Giant manta,2000,0,Species-Specific Mobula
Peru,Giant manta,2001,0,Species-Specific Mobula
Peru,Giant manta,2002,0,Species-Specific Mobula
Peru,Giant manta,2003,0,Species-Specific Mobula
Peru,Giant manta,2004,0,Species-Specific Mobula
Peru,Giant manta,2005,0,Species-Specific Mobula
Peru,Giant manta,2006,0,Species-Specific Mobula
Peru,Giant manta,2007,0,Species-Specific Mobula
Peru,Giant manta,2008,0,Species-Specific Mobula
Peru,Giant manta,2009,0,Species-Specific Mobula
Peru,Giant manta,2010,0,Species-Specific Mobula
Peru,Giant manta,2011,0,Species-Specific Mobula
Peru,Giant manta,2012,0,Species-Specific Mobula
Peru,Giant manta,2013,0,Species-Specific Mobula
Peru,Giant manta,2014,0,Species-Specific Mobula
Peru,Giant manta,2015,0,Species-Specific Mobula
Peru,Giant manta,2016,0,Species-Specific Mobula
Peru,Giant manta,2017,201,Species-Specific Mobula
Peru,Giant manta,2018,177,Species-Specific Mobula
Peru,Giant manta,2019,177,Species-Specific Mobula
Peru,Giant manta,2020,0,Species-Specific Mobula
Peru,Giant manta,2021,0,Species-Specific Mobula
Puerto Rico,Giant manta,1993,0,Species-Specific Mobula
Puerto Rico,Giant manta,1994,0,Species-Specific Mobula
Puerto Rico,Giant manta,1995,0,Species-Specific Mobula
Puerto Rico,Giant manta,1996,0,Species-Specific Mobula
Puerto Rico,Giant manta,1997,0,Species-Specific Mobula
Puerto Rico,Giant manta,1998,0,Species-Specific Mobula
Puerto Rico,Giant manta,1999,0,Species-Specific Mobula
Puerto Rico,Giant manta,2000,0,Species-Specific Mobula
Puerto Rico,Giant manta,2001,0,Species-Specific Mobula
Puerto Rico,Giant manta,2002,0,Species-Specific Mobula
Puerto Rico,Giant manta,2003,0,Species-Specific Mobula
Puerto Rico,Giant manta,2004,0,Species-Specific Mobula
Puerto Rico,Giant manta,2005,0,Species-Specific Mobula
Puerto Rico,Giant manta,2006,0,Species-Specific Mobula
Puerto Rico,Giant manta,2007,0,Species-Specific Mobula
Puerto Rico,Giant manta,2008,0,Species-Specific Mobula
Puerto Rico,Giant manta,2009,0,Species-Specific Mobula
Puerto Rico,Giant manta,2010,0,Species-Specific Mobula
Puerto Rico,Giant manta,2011,0.46,Species-Specific Mobula
Puerto Rico,Giant manta,2012,0,Species-Specific Mobula
Puerto Rico,Giant manta,2013,0,Species-Specific Mobula
Puerto Rico,Giant manta,2014,0,Species-Specific Mobula
Puerto Rico,Giant manta,2015,0,Species-Specific Mobula
Puerto Rico,Giant manta,2016,0,Species-Specific Mobula
Puerto Rico,Giant manta,2017,0,Species-Specific Mobula
Puerto Rico,Giant manta,2018,0,Species-Specific Mobula
Puerto Rico,Giant manta,2019,0,Species-Specific Mobula
Puerto Rico,Giant manta,2020,0,Species-Specific Mobula
Puerto Rico,Giant manta,2021,0,Species-Specific Mobula
Albania,Porbeagle,1993,0,Porbeagle
Albania,Porbeagle,1994,0,Porbeagle
Albania,Porbeagle,1995,0,Porbeagle
Albania,Porbeagle,1996,0,Porbeagle
Albania,Porbeagle,1997,0,Porbeagle
Albania,Porbeagle,1998,0,Porbeagle
Albania,Porbeagle,1999,0,Porbeagle
Albania,Porbeagle,2000,2,Porbeagle
Albania,Porbeagle,2001,0,Porbeagle
Albania,Porbeagle,2002,0,Porbeagle
Albania,Porbeagle,2003,0,Porbeagle
Albania,Porbeagle,2004,1,Porbeagle
Albania,Porbeagle,2005,2,Porbeagle
Albania,Porbeagle,2006,4,Porbeagle
Albania,Porbeagle,2007,0,Porbeagle
Albania,Porbeagle,2008,0,Porbeagle
Albania,Porbeagle,2009,0,Porbeagle
Albania,Porbeagle,2010,0,Porbeagle
Albania,Porbeagle,2011,0,Porbeagle
Albania,Porbeagle,2012,0,Porbeagle
Albania,Porbeagle,2013,0,Porbeagle
Albania,Porbeagle,2014,0,Porbeagle
Albania,Porbeagle,2015,0,Porbeagle
Albania,Porbeagle,2016,0,Porbeagle
Albania,Porbeagle,2017,0,Porbeagle
Albania,Porbeagle,2018,0,Porbeagle
Albania,Porbeagle,2019,0,Porbeagle
Albania,Porbeagle,2020,0,Porbeagle
Albania,Porbeagle,2021,0,Porbeagle
American Samoa,Mako sharks,1993,0,Broad Mako
American Samoa,Mako sharks,1994,0,Broad Mako
American Samoa,Mako sharks,1995,0,Broad Mako
American Samoa,Mako sharks,1996,0,Broad Mako
American Samoa,Mako sharks,1997,0,Broad Mako
American Samoa,Mako sharks,1998,0,Broad Mako
American Samoa,Mako sharks,1999,0,Broad Mako
American Samoa,Mako sharks,2000,0,Broad Mako
American Samoa,Mako sharks,2001,0,Broad Mako
American Samoa,Mako sharks,2002,0,Broad Mako
American Samoa,Mako sharks,2003,0,Broad Mako
American Samoa,Mako sharks,2004,0,Broad Mako
American Samoa,Mako sharks,2005,0,Broad Mako
American Samoa,Mako sharks,2006,1,Broad Mako
American Samoa,Mako sharks,2007,0,Broad Mako
American Samoa,Mako sharks,2008,0,Broad Mako
American Samoa,Mako sharks,2009,0,Broad Mako
American Samoa,Mako sharks,2010,0,Broad Mako
